CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,49,38,22
2,Male,56,59,41
3,Male,66,38,14
4,Male,69,75,53
5,Female,49,36,86
6,Female,21,85,55
7,Female,47,60,41
8,Male,54,31,39
9,Male,40,69,60
10,Male,56,34,31
11,Female,62,36,64
12,Male,32,49,38
13,Male,60,63,52
14,Female,46,79,70
15,Female,53,27,18
16,Female,30,78,50
17,Female,49,42,46
18,Female,24,68,94
19,Female,68,85,71
20,Female,39,28,36
21,Male,45,27,34
22,Female,19,48,51
23,Female,59,39,54
24,Female,62,76,53
25,Female,70,79,39
26,Male,23,140,91
27,Female,45,52,51
28,Female,45,48,63
29,Male,61,60,53
30,Female,61,94,68
31,Male,37,24,40
32,Female,47,48,49
33,Female,28,22,47
34,Male,45,20,48
35,Male,42,42,29
36,Male,56,45,6
37,Female,50,57,46
38,Female,18,29,27
39,Male,44,35,51
40,Female,69,24,13
41,Female,30,21,5
42,Female,58,26,19
43,Female,20,98,65
44,Male,56,76,86
45,Female,23,38,54
46,Male,25,20,44
47,Female,44,61,64
48,Female,26,32,54
49,Female,54,53,64
50,Female,50,35,28
51,Male,68,45,16
52,Male,59,22,12
53,Male,61,131,97
54,Male,41,52,12
55,Male,32,52,70
56,Male,49,58,24
57,Female,49,19,35
58,Female,41,90,73
59,Female,58,44,44
60,Female,69,32,22
61,Female,66,60,52
62,Female,66,24,17
63,Male,69,18,11
64,Female,29,118,85
65,Female,56,33,56
66,Female,19,22,43
67,Female,20,40,52
68,Male,66,53,31
69,Female,54,65,52
70,Male,66,111,68
71,Male,34,37,35
72,Female,66,33,12
73,Female,19,41,74
74,Male,19,36,35
75,Male,45,85,58
76,Male,40,40,23
77,Male,54,63,42
78,Female,49,140,99
79,Female,50,50,46
80,Female,18,58,52
81,Male,36,78,45
82,Male,19,28,18
83,Female,70,53,53
84,Female,61,87,66
85,Female,43,61,66
86,Female,49,30,45
87,Male,23,33,46
88,Male,49,22,10
89,Male,21,86,82
90,Female,28,26,58
91,Female,34,93,73
92,Male,55,28,35
93,Male,41,95,79
94,Male,22,61,83
95,Male,69,46,28
96,Female,51,123,100
97,Female,23,113,91
98,Female,39,62,47
99,Female,28,22,36
100,Female,65,72,62
